"ruo","date"
" 4.52",2012-01-10
" 4.43",2012-01-11
" 4.41",2012-01-12
" 4.40",2012-01-13
" 4.44",2012-01-16
" 4.50",2012-01-17
" 4.49",2012-01-18
" 4.49",2012-01-19
" 4.55",2012-01-20
" 4.60",2012-01-23
" 5.02",2012-01-24
" 5.52",2012-01-25
" 5.63",2012-01-26
" 5.58",2012-01-27
" 5.52",2012-01-30
" 4.64",2012-01-31
" 4.45",2012-02-01
" 4.28",2012-02-02
" 4.23",2012-02-03
" 4.22",2012-02-06
" 4.20",2012-02-07
" 4.12",2012-02-08
" 4.19",2012-02-09
" 4.23",2012-02-10
" 4.27",2012-02-13
" 4.27",2012-02-14
" 4.28",2012-02-15
" 4.26",2012-02-16
" 4.26",2012-02-17
" 4.41",2012-02-20
" 4.27",2012-02-21
" 4.26",2012-02-22
" 4.24",2012-02-24
" 4.44",2012-02-27
" 5.11",2012-02-28
" 5.18",2012-02-29
" 4.68",2012-03-01
" 4.40",2012-03-02
" 4.46",2012-03-05
" 4.50",2012-03-06
" 4.49",2012-03-07
" 4.64",2012-03-11
" 5.06",2012-03-12
" 4.89",2012-03-13
" 4.76",2012-03-14
" 4.90",2012-03-15
" 5.04",2012-03-16
" 5.20",2012-03-19
" 5.33",2012-03-20
" 5.17",2012-03-21
" 4.94",2012-03-22
" 4.99",2012-03-23
" 5.95",2012-03-26
" 5.48",2012-03-27
" 5.70",2012-03-28
" 5.69",2012-03-29
" 5.48",2012-03-30
" 5.69",2012-04-02
" 4.98",2012-04-03
" 4.62",2012-04-04
" 4.47",2012-04-05
" 4.48",2012-04-06
" 4.37",2012-04-09
" 4.63",2012-04-10
" 4.90",2012-04-11
" 5.44",2012-04-12
" 5.28",2012-04-13
" 5.24",2012-04-16
" 5.35",2012-04-17
" 5.08",2012-04-18
" 5.25",2012-04-19
" 5.32",2012-04-20
" 5.43",2012-04-23
" 5.64",2012-04-24
" 5.71",2012-04-25
" 6.09",2012-04-26
" 6.17",2012-04-27
" 6.00",2012-04-28
" 5.85",2012-05-02
" 5.62",2012-05-03
" 5.24",2012-05-04
" 5.07",2012-05-05
" 5.96",2012-05-10
" 5.72",2012-05-11
" 5.22",2012-05-12
" 5.31",2012-05-14
" 5.28",2012-05-15
" 5.50",2012-05-16
" 5.79",2012-05-17
" 5.77",2012-05-18
" 5.77",2012-05-21
" 5.35",2012-05-22
" 5.12",2012-05-23
" 5.79",2012-05-24
" 6.34",2012-05-25
" 6.03",2012-05-28
" 6.40",2012-05-29
" 6.39",2012-05-30
" 6.22",2012-05-31
" 4.96",2012-06-01
" 4.92",2012-06-04
" 5.15",2012-06-05
" 5.28",2012-06-06
" 6.27",2012-06-07
" 5.40",2012-06-08
" 5.15",2012-06-09
" 6.17",2012-06-13
" 6.66",2012-06-14
" 5.61",2012-06-15
" 5.10",2012-06-18
" 5.38",2012-06-19
" 5.58",2012-06-20
" 5.33",2012-06-21
" 5.87",2012-06-22
" 5.72",2012-06-25
" 6.18",2012-06-26
" 6.10",2012-06-27
" 6.13",2012-06-28
" 6.11",2012-06-29
" 5.54",2012-07-02
" 4.91",2012-07-03
" 5.04",2012-07-04
" 5.24",2012-07-05
" 5.28",2012-07-06
" 5.74",2012-07-09
" 5.29",2012-07-10
" 5.43",2012-07-11
" 5.92",2012-07-12
" 5.57",2012-07-13
" 5.44",2012-07-16
" 5.53",2012-07-17
" 5.43",2012-07-18
" 5.16",2012-07-19
" 5.22",2012-07-20
" 5.63",2012-07-23
" 5.71",2012-07-24
" 5.99",2012-07-25
" 6.01",2012-07-26
" 5.63",2012-07-27
" 5.86",2012-07-30
" 6.13",2012-07-31
" 5.09",2012-08-01
" 5.53",2012-08-02
" 5.31",2012-08-03
" 5.36",2012-08-06
" 5.64",2012-08-07
" 5.10",2012-08-08
" 4.46",2012-08-09
" 5.52",2012-08-10
" 5.93",2012-08-13
" 5.70",2012-08-14
" 5.38",2012-08-15
" 5.05",2012-08-16
" 4.87",2012-08-17
" 5.53",2012-08-20
" 5.54",2012-08-21
" 4.96",2012-08-22
" 4.60",2012-08-23
" 4.77",2012-08-24
" 5.81",2012-08-27
" 5.43",2012-08-28
" 5.18",2012-08-29
" 5.24",2012-08-30
" 4.68",2012-08-31
" 4.54",2012-09-03
" 4.48",2012-09-04
" 5.08",2012-09-05
" 5.12",2012-09-06
" 4.71",2012-09-07
" 5.60",2012-09-10
" 5.12",2012-09-11
" 5.04",2012-09-12
" 5.25",2012-09-13
" 5.62",2012-09-14
" 5.77",2012-09-17
" 5.70",2012-09-18
" 5.30",2012-09-19
" 5.52",2012-09-20
" 5.52",2012-09-21
" 6.06",2012-09-24
" 6.45",2012-09-25
" 6.03",2012-09-26
" 6.07",2012-09-27
" 6.22",2012-09-28
" 5.97",2012-10-01
" 5.67",2012-10-02
" 5.54",2012-10-03
" 5.82",2012-10-04
" 5.54",2012-10-05
" 5.83",2012-10-08
" 5.93",2012-10-09
" 6.17",2012-10-10
" 6.33",2012-10-11
" 6.05",2012-10-12
" 6.22",2012-10-15
" 6.19",2012-10-16
" 5.80",2012-10-17
" 5.71",2012-10-18
" 5.70",2012-10-19
" 5.91",2012-10-22
" 6.13",2012-10-23
" 6.16",2012-10-24
" 6.42",2012-10-25
" 6.23",2012-10-26
" 6.37",2012-10-29
" 6.37",2012-10-30
" 6.46",2012-10-31
" 6.28",2012-11-01
" 5.86",2012-11-02
" 6.06",2012-11-06
" 5.82",2012-11-07
" 5.27",2012-11-08
" 5.59",2012-11-09
" 5.94",2012-11-12
" 6.11",2012-11-13
" 6.44",2012-11-14
" 6.28",2012-11-15
" 6.10",2012-11-16
" 6.03",2012-11-19
" 6.01",2012-11-20
" 5.86",2012-11-21
" 5.90",2012-11-22
" 5.94",2012-11-23
" 6.30",2012-11-26
" 6.42",2012-11-27
" 6.50",2012-11-28
" 6.19",2012-11-29
" 6.47",2012-11-30
" 6.41",2012-12-03
" 6.36",2012-12-04
" 6.34",2012-12-05
" 5.96",2012-12-06
" 5.89",2012-12-07
" 6.29",2012-12-10
" 6.37",2012-12-11
" 6.09",2012-12-12
" 6.15",2012-12-13
" 6.45",2012-12-14
" 6.28",2012-12-17
" 6.47",2012-12-18
" 6.39",2012-12-19
" 6.39",2012-12-20
" 6.27",2012-12-21
" 6.09",2012-12-24
" 5.93",2012-12-25
" 6.15",2012-12-26
" 6.24",2012-12-27
" 5.33",2012-12-28
" 5.69",2013-01-09
" 4.98",2013-01-10
" 4.96",2013-01-11
" 4.98",2013-01-14
" 4.91",2013-01-15
" 5.18",2013-01-16
" 5.50",2013-01-17
" 5.31",2013-01-18
" 5.49",2013-01-21
" 5.28",2013-01-22
" 4.90",2013-01-23
" 4.90",2013-01-24
" 5.69",2013-01-25
" 6.17",2013-01-28
" 5.82",2013-01-29
" 5.67",2013-01-30
" 5.87",2013-01-31
" 5.53",2013-02-01
" 5.30",2013-02-04
" 5.20",2013-02-05
" 5.16",2013-02-06
" 4.94",2013-02-07
" 4.81",2013-02-08
" 5.25",2013-02-11
" 5.27",2013-02-12
" 5.44",2013-02-13
" 5.59",2013-02-14
" 5.75",2013-02-15
" 6.13",2013-02-18
" 5.78",2013-02-19
" 5.85",2013-02-20
" 6.01",2013-02-21
" 5.97",2013-02-22
" 6.12",2013-02-25
" 6.08",2013-02-26
